Preço,Cidade,Bairro,Endereço,Numero,Dorms,Banheiros,Area,Vagas,Titulo
R$ 622.000,Caraguatatuba,Sumaré,N/I,N/I,"2
              

                Quartos","2
              

                Banheiros","74
              

                m²","2
                

                  Vagas","Apartamento com 2 Quartos à Venda, 74m²"
R$ 600.000,Caraguatatuba,Capricórnio II,N/I,N/I,"3
              

                Quartos","2
              

                Banheiros","119
              

                m²","1
                

                  Vaga","Casa com 3 Quartos à Venda, 119m²"
"R$ 350.000
                    



                  Condomínio:
                  
                      R$ 360",Caraguatatuba,Mar Verde II,N/I,N/I,"--
              

                Quarto","--
              

                Banheiro","10
              

                m²","--
                

                  Vaga","Lote/Terreno    à Venda, 10m²"
R$ 360.000,Caraguatatuba,Jardim Brasil,Alameda Manoel Telles Barreto,47,"2
              

                Quartos","1
              

                Banheiro","89
              

                m²","1
                

                  Vaga","Casa com 2 Quartos à Venda, 89m²"
R$ 420.000,Caraguatatuba,Balneário dos Golfinhos,Avenida Pedro Reginaldo da Costa,800,"2
              

                Quartos","2
              

                Banheiros","107
              

                m²","2
                

                  Vagas","Casa com 2 Quartos à Venda, 107m²"
R$ 1.250.000,Caraguatatuba,Massaguaçu,N/I,N/I,"4
              

                Quartos","3
              

                Banheiros","210
              

                m²","6
                

                  Vagas","Casa com 4 Quartos à Venda, 210m²"
R$ 700.000,Caraguatatuba,Martim de Sa,N/I,N/I,"3
              

                Quartos","1
              

                Banheiro","210
              

                m²","3
                

                  Vagas","Casa com 3 Quartos à Venda, 210m²"
"R$ 550.000
                    



                  Condomínio:
                  
                      R$ 598",Caraguatatuba,Indaiá,N/I,N/I,"2
              

                Quartos","1
              

                Banheiro","61
              

                m²","1
                

                  Vaga","Apartamento com 2 Quartos à Venda, 61m²"
"R$ 480.000
                    



                  Condomínio:
                  
                      R$ 297",Caraguatatuba,Martim de Sa,N/I,N/I,"2
              

                Quartos","3
              

                Banheiros","90
              

                m²","1
                

                  Vaga","Casa de condomínio com 2 Quartos à Venda, 90m²"
"R$ 550.000
                        
Preço abaixo do mercado",Caraguatatuba,Sumaré,Rua Paraíbuna,85,"3
              

                Quartos","3
              

                Banheiros","150
              

                m²","1
                

                  Vaga","Apartamento com 3 Quartos à Venda, 150m²"
R$ 650.000,Caraguatatuba,Jardim Capricornio,Rua Seis,N/I,"--
              

                Quarto","--
              

                Banheiro","598
              

                m²","--
                

                  Vaga","Lote/Terreno    à Venda, 598m²"
R$ 2.300.000,Caraguatatuba,Indaiá,N/I,N/I,"3
              

                Quartos","4
              

                Banheiros","208
              

                m²","4
                

                  Vagas","Cobertura com 3 Quartos à Venda, 208m²"
"R$ 350.000
                    



                  Condomínio:
                  
                      R$ 415",Caraguatatuba,Portal da Fazendinha,N/I,N/I,"2
              

                Quartos","1
              

                Banheiro","64
              

                m²","1
                

                  Vaga","Apartamento com 2 Quartos à Venda, 64m²"
"R$ 1.300.000
                    



                  Condomínio:
                  
                      R$ 1.800",Caraguatatuba,Centro,N/I,N/I,"3
              

                Quartos","2
              

                Banheiros","200
              

                m²","2
                

                  Vagas","Cobertura com 3 Quartos à Venda, 200m²"
R$ 950.000,Caraguatatuba,Jardim Primavera,Avenida Espírito Santo,287,"--
              

                Quarto","2
              

                Banheiros","111
              

                m²","4
                

                  Vagas","Ponto comercial/Loja/Box    à Venda, 111m²"
R$ 380.000,Caraguatatuba,Martim de Sa,Rua Fernão Dias Paes Leme,833,"2
              

                Quartos","2
              

                Banheiros","90
              

                m²","2
                

                  Vagas","Casa com 2 Quartos à Venda, 90m²"
"R$ 480.000
                    



                  Condomínio:
                  
                      R$ 650",Caraguatatuba,Massaguaçu,N/I,N/I,"2
              

                Quartos","2
              

                Banheiros","78
              

                m²","1
                

                  Vaga","Casa de condomínio com 2 Quartos à Venda, 78m²"
R$ 750.000,Caraguatatuba,Indaiá,Rua Guilherme Fernandes Costa,1111,"3
              

                Quartos","2
              

                Banheiros","180
              

                m²","4
                

                  Vagas","Casa com 3 Quartos à Venda, 180m²"
R$ 290.000,Caraguatatuba,Balneário dos Golfinhos,Avenida Pedro Reginaldo da Costa,40,"2
              

                Quartos","2
              

                Banheiros","65
              

                m²","2
                

                  Vagas","Casa com 2 Quartos à Venda, 65m²"
R$ 450.000,Caraguatatuba,Balneário dos Golfinhos,Avenida Pedro Reginaldo da Costa,1291,"2
              

                Quartos","1
              

                Banheiro","96
              

                m²","--
                

                  Vaga","Apartamento com 2 Quartos à Venda, 96m²"
